App Version,Crit . Non Crit .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parametric Version,Crit . Non Crit .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI Bootloader Version ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC Bootloader Version ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,.SS,UI_MachineStateEnter,UI_MachineStateExit,UI_CycleSelection,UnitSerialNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,0,BB4B,3B2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
02/16/2023,10:52:34:.267,.267,Verifica conexiones,Verifica conexiones,7C213E0300FF4BA49EC387F26C083B2D903C3C6E88A000003B2D,E3
02/16/2023,10:52:34:.648,.648,Verifica conexiones,Verifica conexiones,Verifica conexiones,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:34:.757,.757,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:34:.854,.854,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:34:.959,.959,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.084,.084,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.175,.175,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.260,.260,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.366,.366,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.461,.461,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.556,.556,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.676,.676,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.758,.758,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.869,.869,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:35:.964,.964,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.055,.055,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.169,.169,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.264,.264,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.356,.356,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.458,.458,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.567,.567,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.667,.667,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.759,.759,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.872,.872,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:36:.956,.956,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:37:.075,.075,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:37:.182,.182,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:37:.253,.253,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:37:.355,.355,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
02/16/2023,10:52:37:.452,.452,02,01,03,0000000000000000000000000000000000000000000000000000000000000000
